"time","P","S","R","N","E","Ishadow","Ireshadow","Eshadow","Ntotal","idx","country"
2019,316.583022565977,119.435011333664,452.115239587144,134994.61777577,1190.2930910837,46081.4051846184,17647.6090230702,43665.123855004,137073.044140341,1,"Argentina"
2019,301.681207986481,136.154033864141,487.097204084574,134809.030979778,1328.03958340499,54602.2498728621,23000.2019987125,52334.5330984578,137062.003009118,10,"Argentina"
2019,302.328856570646,137.279699549692,453.858252155365,134947.533559048,1260.47179081682,55420.3394806281,23242.5438293986,52476.551278303,137101.472158141,1000,"Argentina"
2019,352.619464564758,84.5426725685325,630.200989693537,134266.019968278,1734.56385071539,57065.9783717916,15367.8493536593,54927.1449973276,137067.94694582,1001,"Argentina"
2019,280.917169320946,149.288000200248,484.559908975279,134832.35913244,1314.92912258107,57265.9127879497,26324.4132341704,54455.1737248989,137062.053333518,1002,"Argentina"
2019,335.109486594765,99.2375654427575,484.760715920932,134765.95786612,1385.52408473041,50377.9142223317,16236.5190740252,48125.2320959844,137070.589718809,1003,"Argentina"
2019,318.094870455059,128.244728388937,512.989019897766,134747.085150157,1386.35240266932,55517.1779824451,21475.3448812461,52642.5722137581,137092.766171569,1004,"Argentina"
2019,310.402899718779,130.622744902654,544.208417677743,134500.969310777,1588.34614131698,66238.2536235416,26556.4420763573,63755.644759828,137074.549514393,1005,"Argentina"
2019,284.525065273078,152.091412484629,346.552444851374,135281.948387806,1018.26635148914,50454.9502634364,24045.4994170642,48004.2951729408,137083.383661904,1006,"Argentina"
2019,308.228172920722,125.806997967916,453.776063811928,134955.226806913,1239.57349074069,49524.3612383347,19475.6646166924,46879.0981178753,137082.611532354,1007,"Argentina"
2019,326.765214729017,121.383958721161,460.581427036448,134915.90116445,1258.73134500099,49798.6055952559,18694.1935666808,47167.4879778508,137083.363109938,1008,"Argentina"
2019,286.246370110328,164.388587186414,413.20145109435,135091.552120468,1140.00715180493,57300.6456247834,28141.0610094772,54428.4474254481,137095.395680664,1009,"Argentina"
2019,294.705249078624,146.568965746854,381.156226801713,135222.943770386,1034.89556704686,47974.0076189773,21919.1078799621,45163.8166872373,137080.26977906,101,"Argentina"
2019,291.624750683517,142.267884647273,419.884322627488,135016.676345283,1208.25224945579,54622.3965316435,24260.7980039364,52727.5703180182,137078.705552697,1010,"Argentina"
2019,305.444417793071,132.914955542762,533.300029594172,134621.455142449,1494.10373263114,61717.9855098038,25064.6586521335,59282.7954417234,137087.21827801,1012,"Argentina"
2019,281.535335431681,151.504148344409,330.805516247313,135420.777344614,891.662321852733,41971.5562932464,20094.9443715634,39170.593152497,137076.284666491,1013,"Argentina"
2019,299.508781856815,144.418742269339,400.969265387278,135167.630622366,1072.41964297529,48180.8887521662,21580.8043832178,45304.4705717799,137084.947054855,1014,"Argentina"
2019,317.239695370982,121.973065426202,517.954201090761,134707.345995296,1422.14123087705,55787.2069496647,21097.247123307,53250.1039414753,137086.654188061,1015,"Argentina"
2019,321.440288628977,117.511544262148,579.121595052839,134445.619834978,1592.18677876805,59609.9735349092,21802.5541704957,56940.0292083721,137055.88004169,1016,"Argentina"
2019,311.520175725031,135.515936476015,536.522388928374,134583.892175608,1504.42373836235,62660.7812422536,25919.3320610878,60155.0193808411,137071.874415099,1019,"Argentina"
2019,325.774851530674,113.869978895503,482.598026876457,134828.765775155,1334.44261539004,52502.3780008373,19061.1102760602,50102.4395122407,137085.451247848,102,"Argentina"
2019,288.170553663649,149.666626806232,485.457449176556,134879.118349001,1298.73552864099,57286.3497325381,25872.6119435534,54870.1878491029,137101.148507289,1020,"Argentina"
2019,325.17893648814,111.87003078757,438.563529112268,134929.435709184,1260.51427230767,48603.7053692829,17478.1469566596,46385.0721519121,137065.56247788,1022,"Argentina"
2019,310.490288578075,126.034735985542,494.256530116394,134766.239830927,1376.86121532812,54273.3814454476,21352.1575652513,51419.4546802353,137073.882600935,1023,"Argentina"
2019,312.434318280036,123.407155818983,534.553121300173,134616.791917245,1491.10695763607,57433.5822566214,22001.4226401406,55331.1346248471,137078.29347028,1024,"Argentina"
2019,309.549203192709,134.625189661531,514.182115927659,134777.531307868,1344.64059905122,54711.7039951937,22513.2449744161,52131.50151886,137080.528415701,1025,"Argentina"
2019,302.784536790646,142.991408549717,484.722166741036,134770.804909379,1395.10151880948,62465.3240459258,26760.7381375418,59872.1123380465,137096.404540269,1026,"Argentina"
2019,303.780612547514,135.024201684309,485.113669796888,134796.752313543,1355.49057354024,56065.2236318004,23420.4683223594,53491.5617535285,137076.161371112,1027,"Argentina"
2019,280.931700536264,154.51723206841,422.291720036279,135105.772485199,1108.88528354781,50149.519771638,23850.0782538863,47875.1113540265,137072.398421388,1028,"Argentina"
2019,299.088610217024,136.958768505176,479.958708155836,134864.348884056,1281.52408493648,52153.3993486965,22151.3347115498,50143.5313241296,137061.879055871,103,"Argentina"
2019,295.920047193316,150.337255963782,368.88796077676,135280.60437252,1001.25677783527,47630.1169834217,21868.598515973,44656.0199170754,137097.006414289,1030,"Argentina"
2019,277.99161565147,157.783822129669,382.874436062674,135135.11956092,1114.05728197736,53401.2211351031,25828.6813322455,51572.0669573136,137067.826716741,1031,"Argentina"
2019,317.431576807329,121.247054480625,555.211954310285,134455.401472859,1630.21085334389,64913.8918997684,24236.5865177026,62422.2960117376,137079.502911801,1032,"Argentina"
2019,291.348444376985,151.486382404415,395.561215926015,135161.186727522,1089.40347278416,51769.8095622672,24047.924830619,48889.9039952355,137088.986243013,1033,"Argentina"
2019,311.990638604916,123.297099825265,482.991973919525,134854.771351482,1312.29432072488,52427.5952067612,20324.9664394725,49918.9248360505,137085.345384556,1034,"Argentina"
2019,295.538330135921,143.960816078103,553.727474538683,134576.478197,1499.99682708499,63372.0442900376,27716.9025368422,61467.5082570613,137069.701644837,1035,"Argentina"
2019,320.46031157489,124.09664297969,637.378044074805,134206.247652065,1780.54397761116,68478.6458490751,25650.4736208487,66187.2739925114,137068.726628306,1036,"Argentina"
2019,306.669074484758,140.209421604329,402.624513397422,135089.002709169,1144.96485124973,51580.3924728824,22549.4229974966,49071.1567820009,137083.470569905,1037,"Argentina"
2019,354.539467916564,85.5391091633816,567.772783485397,134459.258176831,1623.35132045944,56218.1397314284,15244.1986717672,53613.7063665188,137090.460857855,1038,"Argentina"
2019,319.518884128554,119.439280052529,492.827020755751,134794.80779286,1337.39902009194,51381.9137744166,19447.7238052669,49574.8389485327,137063.991997888,104,"Argentina"
2019,293.616891832159,145.722539413656,354.599376857886,135326.018827549,956.329604048822,43827.0812803107,20124.6856683669,41371.1547737561,137076.287239702,1040,"Argentina"
