"time","S1","E1","L1","I1","R1","S2","E2","L2","I2","R2","S3","E3","L3","I3","R3","S4","E4","L4","I4","R4","I1shadow","I2shadow","I3shadow","I4shadow","D1shadow","D2shadow","D3shadow","D4shadow","muI1shadow","muI2shadow","muI3shadow","muI4shadow","N1","N2","N3","N4","idx"
2024,211.494262457357,95.4377664413334,345.757160614294,6.60233815867725,35.6857868178632,430.814765034594,50.6633273219236,748.294697697124,3.6358162678586,84.211716015207,1097.1147300637,8.27382668691305,1990.21593240161,1.5997333505984,235.087106557443,114815.594905469,89.7568298917261,23269.2321110126,13.4201609148267,1826.79888731361,2977.09910322769,1402.28737046114,3253.02775478851,142827.71000774,1718.76052622128,1501.93583094916,2569.47725854751,110674.725566266,293.102429075848,247.250416659748,432.882291102335,18784.3587694321,694.977314489524,1317.62032233671,3332.29132906026,140014.802894602,1
2025,210.866039574369,92.848038435194,347.784349866528,6.43784564603591,36.2517333629905,423.075566091087,49.4226703670569,761.435254719974,3.57339639700889,86.3465243414351,1137.66747064703,8.21650082291169,2068.59823350262,1.64727332595827,244.903927815813,116028.16167131,89.4907533836248,22959.441591936,13.2974959250486,1811.57280503997,2991.22370562836,1408.54893762006,3257.18877014654,142865.66793397,1726.58440458598,1510.23285236218,2573.45556072415,110707.455516139,294.436267629365,247.988202938339,433.214486877835,18787.0917823098,694.188006885118,1323.85341191656,3461.03340611433,140901.964317594,1
2024,206.956818416397,117.640781175562,337.233418845692,7.43553104634185,35.6253843906994,432.800358749968,70.3862994347634,758.327317331136,4.59054177791668,88.1916128691628,1188.00124709093,12.4745016600232,2114.00467858354,1.90050822789683,254.374514842998,114085.613250432,107.517759633718,23664.4047424066,14.153366086521,1778.12993848577,3185.7909787529,1873.08905852471,3716.9081955043,134672.43341704,1832.28789817502,2002.9467898377,3075.47133484416,108650.336982509,222.562809768982,235.698446036094,369.534534570117,13138.2453720911,704.891933874692,1354.29613016295,3570.75545040539,139649.819057045,10
2025,205.023750306859,115.939332098584,340.925181655316,7.35376363893409,36.4221339819289,422.179430479824,69.6980322828022,774.029477286563,4.5718704283525,90.8538315297266,1226.86911041705,12.5544035863906,2194.33781887882,1.95971323454518,264.772685609646,115291.323766843,107.69465447444,23354.4025308711,14.036708495093,1764.07539457213,3201.71533254705,1881.07359299949,3721.44287791979,134709.776865132,1841.16421141632,2013.45326309738,3079.94545009304,108683.005328715,223.640680665899,236.366460475531,369.815837321099,13140.2993414563,705.664161681621,1361.33264200727,3700.49373172645,140531.533055256,10
2024,147.657344600076,119.983913213918,389.595067708752,9.47017144722001,38.7752923203315,287.987621405135,71.3569327982425,819.256844457624,7.41139665970809,86.8057063601891,796.990042100997,11.4990181105938,2212.0428852313,2.80392964580223,263.042311528068,116066.312987955,117.376312787003,21968.5699983283,19.6852829819888,1872.82808468211,3699.78272143897,1590.81255201216,3587.19358111999,142132.867305436,1903.91982151904,1842.4918320571,2842.44131617529,107898.47426156,289.192555788636,275.32779741525,426.295369284084,16307.0950725103,705.481789290298,1272.8185016809,3286.37818661676,140044.772666734,1002
2025,148.68339584786,116.165614982363,392.525871787869,9.16718169445343,39.4394624234864,281.522950315076,68.9811231852392,831.873450379155,7.21688699264354,88.8265191973412,822.731324316017,11.3053797268506,2299.19741211716,2.86230267248624,273.597041846243,117225.823582144,116.446701194896,21714.168839544,19.5061138552188,1858.72371505275,3716.56582742449,1597.51787685549,3592.0669734649,142173.211771306,1912.48939647133,1851.4718574368,2847.36096863501,107932.494747952,290.493107008468,276.349273684128,426.691040181821,16309.8312244037,705.981526736032,1278.42093006946,3409.69346067876,140934.668951791,1002
2024,179.936896447337,140.41138665303,337.74864849193,8.43967591746442,27.6853747185925,407.200937352095,75.2375499051372,902.068728299752,5.28678558495117,83.8230648105206,1073.08394983283,11.9336906830138,2520.5058869595,2.33493185020062,256.45218416435,113549.511111482,101.774598683251,23916.6151874319,16.1745788884642,1738.1133553246,3704.22261052791,1851.33748129024,4016.81113514478,137832.197623835,1989.64402166417,2067.32382833157,3235.15122713403,107497.463530228,326.760002774855,330.183662608304,525.309264752329,17569.4108047913,694.221982228354,1473.61706595246,3864.31064348989,139322.18883181,1003
2025,180.928587651982,138.682508790711,339.837867332875,8.33213257914591,28.0756381358278,403.721741148608,74.3127128677067,918.016325191826,5.24339108405889,85.8236313893065,1110.6663217209,11.9300735962631,2614.0239411045,2.39886138240889,266.358072624488,114740.955669826,101.425678729611,23604.5190639715,16.0257561836909,1724.3399512265,3720.73583283914,1858.48701315752,4021.68604660037,137869.887425066,1998.40578981134,2077.08307506655,3239.90714870684,107529.811095462,328.198012842145,331.086875364184,525.715270514032,17572.1722670359,695.856734490541,1487.11780168151,4005.37727042856,140187.266119937,1003
2024,167.490330796825,147.851047240085,341.101862310076,9.48374795069488,29.0536128183708,374.251234965631,94.5639562887639,899.574770554102,9.01902974388739,86.4085179113346,937.144176456183,16.0441049874509,2499.35807382154,2.93243875943133,265.816661565025,112728.019569104,111.252544309718,24914.1287100778,18.1819075045218,1761.6791006066,3949.33734191466,2231.09423043378,3818.67534337899,138528.477763386,2002.40244295642,2342.82564357759,3101.81986170806,105825.49591837,331.832344027837,381.370875827712,507.066011875852,17450.0174356293,694.980601116052,1463.81750946372,3721.29545558963,139533.261831603,1004
2025,167.604045646995,146.655948447214,343.214431269898,9.41614344142569,29.4770184230454,369.358544207642,93.8698837131969,912.539682556926,8.99100954595052,88.2483713308791,972.472766667292,16.0934175918423,2595.118104528,3.01142634263118,276.490723639037,113944.443005945,111.649856952242,24582.9771028223,18.0378925896027,1747.79592854586,3966.13539067205,2240.21900965392,3823.74140337889,138566.561611828,2010.59145639055,2353.80012397371,3107.18298112096,105858.174236264,333.189066980897,382.664165976688,507.49275918871,17452.6176731545,696.367587228578,1473.00749135459,3863.1864387688,140404.903786854,1004
2024,169.428877521634,137.403835204222,353.973358743597,9.77348046645477,35.4174644136081,393.899934459844,89.7268488618121,918.029782731934,9.33878338226857,101.837191265707,1246.9248847931,15.2942197283722,2646.42467457068,3.9191202028763,309.125958411138,113800.833948583,104.290799808369,23281.9013622429,21.6327930413579,1737.38056087466,3470.59375987109,2587.73524233237,4724.64225875777,136471.806090952,1702.96744953399,2593.2971360659,3780.54141706262,104871.799336698,277.738195486799,416.320241134902,612.124968851006,17045.6474848872,705.997016349515,1512.83254070157,4221.68885770617,138946.039464551,1005
2025,170.296428488147,134.376209975447,356.614343049403,9.55615378557245,36.0927733981182,385.972411550388,87.716494699943,933.569400164396,9.17927674177074,104.567722501362,1279.12535041302,15.1924387323007,2741.78011135678,4.00647100833725,321.251745849679,114997.482449224,103.875999152541,22974.2660552363,21.4164312761557,1722.60376202583,3489.1916099609,2598.1314863008,4730.30202517662,136509.037864821,1712.46539526046,2605.55274852231,3786.0896308698,104901.930964657,279.285599808366,417.803558886883,612.759723506724,17049.0947549088,706.935908696688,1521.00530565786,4361.35611736011,139819.644696915,1005
2024,186.158964448837,105.982176937413,372.932820722834,7.62943737273479,36.8175653030838,356.701240524015,55.0218392783339,767.162037490607,4.8721300659956,80.2451426671499,959.832502221468,9.05412451110104,2051.66099798436,2.29705877636763,238.210778980406,114292.691531643,135.522440400414,23735.9043110243,19.6481903071671,1845.76676158855,3139.34396894802,1209.2774751001,3315.37947078171,127933.551204136,1917.26129209749,1586.81770273891,2893.16731092311,109763.126680895,117.81090405962,96.0568750827283,176.411777569155,6722.29353117531,709.520964784903,1264.0023900261,3261.0554624737,140029.533234963,1007
2025,186.178474994072,103.533333512626,376.146439855303,7.46802519042594,37.4522034034383,350.269428929237,53.8307056364537,781.463212752911,4.80608266146188,82.3331093781754,992.097873631158,9.01200463809297,2132.64359230212,2.36219473473072,247.720432928885,115448.129313683,135.45208155265,23480.4330006502,19.5189255498635,1833.65275483041,3154.36728389094,1214.43313120388,3319.59575126763,127974.126950819,1926.31909138102,1594.46375471431,2897.4278563884,109798.938011856,118.367300169772,96.4137392130857,176.583526289337,6723.73713747187,710.778476955866,1272.70253935824,3383.83609823499,140917.186076266,1007
2024,151.113869264053,154.510669149634,354.792085297683,10.4384855871423,31.0713428371976,323.22840252274,85.1944847939334,852.015789363176,6.29495080134047,83.7044310441461,938.426208737688,13.8106174555689,2369.30121223014,2.77843097687159,254.93564257657,115215.202246276,111.593082035476,22656.6855036101,18.9888927350539,1789.5116388717,3970.26790078783,1825.0838813294,3877.38386280246,143440.069804266,1987.8592219029,2046.32377984631,3029.96438980274,107115.675188506,377.4275486591,376.365147672112,568.516087216644,20240.58289204,701.92645213571,1350.43805852534,3579.25211197684,139791.981363528,1008
2025,151.02046531311,151.540211863417,356.679745296299,10.2413124680172,31.5397028861311,314.441161237269,83.6318371157127,866.570400756728,6.21164742206483,85.7781478538914,966.350490802028,13.7736966701566,2459.91231132088,2.84985288848577,265.09181034378,116398.100050662,111.743661971157,22377.461433189,18.8530225929789,1775.39409788698,3989.03419653941,1832.49972017605,3882.37662716479,143479.025918517,1997.1902623126,2056.93047804534,3034.80638723933,107148.226244205,379.198071908479,377.436470335386,568.998146253562,20243.8236063871,701.021437826975,1356.63319438567,3707.97816202533,140681.552266302,1008
2024,174.020274368123,99.5936740822314,391.036781176587,6.70999610054047,36.6418578867756,284.266176947981,54.8154168357627,673.120126387112,4.30056645297479,65.0113063988718,805.922115528483,9.4821003511096,1858.88238386718,1.73840056967916,195.494037088168,112849.133721767,132.32794395842,25879.3244520994,17.2258646304604,1839.71917275376,2693.74304447595,1020.64395029139,2899.40766052619,134604.058197044,1573.53327037939,1302.47179579664,2419.885230495,110527.132644125,201.056219878668,164.896173669851,306.231911225,14065.6153058905,708.002583614257,1081.5135930227,2871.51903740462,140717.731155209,1009
2025,172.750482788663,96.5572977253307,393.458957445286,6.52696418626226,37.1854344855781,276.610422961393,53.2672840510193,681.937156173599,4.21675078432064,66.3809341800438,830.981642241317,9.38591876645176,1929.86982858074,1.78374788152416,203.291113655204,114086.591099632,132.120109074276,25574.9230727574,17.096177293825,1827.19539992037,2707.19892411773,1024.85533556077,2903.02683296048,134644.678572726,1581.47546979544,1308.5063137978,2423.51738025705,110562.520382058,202.070702787187,165.549290642353,306.50190714874,14068.2458540832,706.47913663112,1082.41254815038,2975.31225112524,141637.925858678,1009
2024,155.797625550071,115.934096191979,386.751232663735,7.3435642070368,37.291235123641,257.355043322679,56.702699788495,675.552541892484,5.39590678647238,70.552260498963,702.098169087706,9.91145316717996,1824.29321409518,2.18223429430854,207.211951146109,114338.18973723,170.601995134214,24581.0464671266,20.3423608738135,1713.5593046986,3124.00312630613,1594.42642854014,2858.70441837657,123029.762135614,1918.04117460105,1684.28635992379,2398.05876691488,100356.43482037,240.783401666841,209.201281662549,299.038434935745,12562.7355317293,703.117753736463,1065.55845228909,2745.69702179049,140823.739865063,101
