"who_incid_factor_2000","prison_incid_init","r_change_factor1","r_change_factor2","recid_factor","mortality_incarc_irr","mortality_postrel_irr","admissions_factor","beta_pc","b","alphas","muI","sc","d1w","c1w","covid.beta.factor"
1.14885361116336,3393.88968065113,0.66719144183294,0.350493585414808,0.875692784119289,0.630950159829023,0.978920738090672,0.925927137183807,0.403566658891014,0.915649064230785,0.162525240376997,0.204579645747325,0.178385843853791,0.119465145194049,0.413619673255443,0.925156152083196
1.14753149420896,4787.59718542939,0.573185572864582,0.327385301729471,1.00990694438078,0.881211541643655,0.831322343993214,1.00327613544066,0.623165258738523,0.928363541217021,0.278928739916441,0.190143301787582,0.146570047528297,0.604639215843286,0.524043338607531,0.638311009425239
1.25069279329179,3681.26276321529,0.555864863986813,0.335581562020979,0.776727921754507,0.576475498700884,1.30107666884957,0.926464648975003,0.531206783818673,0.971509231034412,0.179844579934273,0.143523701111869,0.165166740453948,0.896115997035755,0.074860148084738,0.665288555008871
1.218010610605,8308.47602775707,0.615689910411407,0.321073988181134,0.887423960475179,0.529536191181281,1.20190612440844,0.881789816063872,0.598461847288764,0.911442911408678,0.186572616896048,0.0770444105692855,0.161453428432504,0.882186957271226,0.868786182023662,0.625023822877553
1.30767515870842,3793.22278249217,0.649101555081426,0.364026780149487,1.23099324093128,0.865105868316934,0.733183179416007,1.03098662203017,0.463230146530706,0.871163431033428,0.223461147697161,0.196282600470832,0.172566752274042,0.467413257930428,0.925101882129908,0.979486717989518
1.09685350327661,6300.05745061491,0.58125929525572,0.350374246769188,0.685827592066827,0.473711929928983,0.972358824219096,0.999913392500784,0.420671865601526,0.862465272045791,0.231566267070248,0.166235002313528,0.174179820727073,0.728311366583686,0.249015873964798,0.881308807214816
0.936688479762333,4163.93938270507,0.582923291689666,0.347797998672049,1.2283929317653,0.487060145588095,1.33752994115839,0.967613997762361,0.674890597322796,0.783216758086815,0.231814680588315,0.0889716945973215,0.154376492085176,0.17773510092753,0.827035883312502,0.766140845141873
1.51368778303531,4027.03187853832,0.590399729295837,0.343348216175004,1.00089763148321,0.66066564641628,0.867643501261338,0.948684843945024,0.386530684349093,0.890073280361791,0.151004639811814,0.0758549186012719,0.149781079781759,0.187129924674596,0.644002302781912,0.801941527314233
1.07659098787444,3195.69185089803,0.608310735506756,0.328363032804809,1.03300308173289,0.617984549943393,0.866922872810563,0.984830459458599,0.28309933808463,0.855929555004126,0.257676311333901,0.0623996597084822,0.147291242282015,0.411032060593056,0.12730118985381,0.77266637640406
1.16951743966935,3533.03130365555,0.601726912871806,0.309934389783013,1.04084805830953,0.587222978402288,0.893866106560394,1.01846989776078,0.629309093589459,0.832261880770554,0.248986347297718,0.145718728163018,0.176634793282955,0.0230860757962801,0.532415679842467,0.897015053675332
