"Country","Year","Incarcerated Population","Incarceration Prevalence"
"Uruguay",1995,3192,99
"Uruguay",1999,4010,122
"Uruguay",2000,4469,135
"Uruguay",2001,5050,152
"Uruguay",2002,5630,169
"Uruguay",2003,6259,188
"Uruguay",2004,6888,207
"Uruguay",2005,6888,207
"Uruguay",2006,6887,207
"Uruguay",2007,7276,218
"Uruguay",2008,7665,229
"Uruguay",2009,8182,243
"Uruguay",2010,8700,257
"Uruguay",2011,9059,267
"Uruguay",2012,9418,277
"Uruguay",2013,9480,278
"Uruguay",2014,9542,279
"Uruguay",2015,10052,292
"Uruguay",2016,10561,306
"Uruguay",2017,10397,300
"Uruguay",2018,10233,294
"Uruguay",2019,11627,333
"Uruguay",2020,13021,372
"Venezuela",1992,31400,152
"Venezuela",1996,22791,101
"Venezuela",2000,14196,58
"Venezuela",2001,16782,67
"Venezuela",2002,19368,76
"Venezuela",2003,19660,76
"Venezuela",2004,19951,76
"Venezuela",2005,19604,73
"Venezuela",2006,19257,70
"Venezuela",2007,21663,78
"Venezuela",2008,24069,85
"Venezuela",2009,32447,112
"Venezuela",2010,40825,140
"Venezuela",2011,43024,145
"Venezuela",2012,45224,150
"Venezuela",2013,48240,159
"Venezuela",2014,51256,168
"Venezuela",2015,52997,170
"Venezuela",2016,54738,173
"Venezuela",2017,50826,159
"Venezuela",2018,46915,145
"Venezuela",2019,42229,129
"Venezuela",2020,37543,113
"Bolivia",1990,3843,56
"Guatemala",1990,6012,69
